STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       2667;19570901;19570930;    5;  6.43;  13.24;   17.52;    9.38;    2.40;  27.2;-999;   0.4;-999;    5;   150.0;   21.5;eor
       2667;19571001;19571031;    5;  5.33;  10.44;   15.06;    6.09;    2.15;  20.5;-999;  -0.8;  99.70;    5;    38.2;    9.2;eor
       2667;19571101;19571130;    5;  6.75;   6.19;    8.53;    3.51;    2.60;  15.3;-999;  -4.9;  36.70;    5;    39.6;   13.9;eor
       2667;19571201;19571231;    5;  6.43;   2.27;    4.76;   -1.04;    2.78;  12.6;-999;  -8.9;  29.00;    5;    44.1;   18.3;eor
       2667;19580101;19580131;    5;  5.85;   2.08;    5.08;   -1.03;    3.23;  12.0;-999;  -9.2;  53.80;    5;    58.8;   11.3;eor
       2667;19580201;19580228;    5;  6.71;   4.46;    7.93;    0.83;    2.96;  17.8;-999; -12.8;  60.10;    5;    77.8;   10.7;eor
       2667;19580301;19580331;    5;  5.22;   1.89;    6.16;   -2.16;    2.62;  18.4;-999;  -9.6; 124.30;    5;    45.6;   10.5;eor
       2667;19580401;19580430;    5;  4.75;   6.74;   11.73;    1.25;    2.87;  19.1;-999;  -5.8; 165.00;    5;    33.1;   13.1;eor
       2667;19580501;19580531;    5;  5.47;  13.82;   18.84;    8.06;    2.29;  26.3;-999;  -1.0; 182.30;    5;   119.6;   34.4;eor
       2667;19580601;19580630;    5;  5.38;  15.54;   20.48;    9.63;    2.27;  29.0;-999;   3.4; 183.60;    5;    83.0;   22.3;eor
       2667;19580701;19580731;    5;  5.33;  17.74;   22.66;   12.26;    2.32;  28.3;-999;   7.4; 195.70;    5;    86.6;   25.8;eor
       2667;19580801;19580831;    5;  5.55;  18.02;   23.12;   13.86;    2.33;  29.3;-999;   9.2; 181.30;    5;   147.3;   22.8;eor
       2667;19580901;19580930;    5;  4.63;  16.06;   21.45;   11.15;    2.72;  29.0;-999;   5.4; 180.80;    5;    63.0;   21.5;eor
       2667;19581001;19581031;    5;  5.99;  10.42;   14.02;    6.72;    2.42;  19.8;-999;   0.6;  90.90;    5;    66.5;   15.4;eor
       2667;19581101;19581130;    5;  7.11;   5.66;    7.86;    3.11;    1.82;  12.6;-999;  -0.6;  29.80;    5;    41.7;    9.0;eor
       2667;19581201;19581231;    5;  6.86;   4.34;    6.70;    0.81;    2.45;  11.5;-999;  -6.0;  22.50;    5;    72.3;   10.5;eor
