STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       3490;19291101;19291130;    5;  -999;   5.30;    -999;    1.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19291201;19291231;    5;  -999;   6.40;    -999;    -999;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300101;19300131;    5;  -999;   4.20;    -999;    0.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300201;19300228;    5;  -999;   1.80;    -999;   -2.30;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300301;19300331;    5;  -999;   5.30;    -999;    0.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300401;19300430;    5;  -999;   9.30;    -999;    4.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300501;19300531;    5;  -999;  12.60;    -999;    7.40;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300601;19300630;    5;  -999;  18.80;    -999;   11.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300701;19300731;    5;  -999;  17.00;    -999;   12.20;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300801;19300831;    5;  -999;  16.80;    -999;   10.80;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19300901;19300930;    5;  -999;  14.20;    -999;   10.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19301001;19301031;    5;  -999;  10.20;    -999;    5.70;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19301101;19301130;    5;  -999;   8.20;    -999;    6.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19301201;19301231;    5;  -999;   2.30;    -999;   -1.00;-999;-999;-999;-999;-999;-999;-999;-999;eor
       3490;19310101;19310131;    5;  -999;   3.10;    -999;    0.20;-999;-999;-999;-999;-999;    5;    78.4;   11.5;eor
       3490;19310201;19310228;    5;  -999;   0.50;    -999;   -3.30;-999;-999;-999;-999;-999;    5;    54.2;    8.6;eor
       3490;19310301;19310331;    5;  -999;   2.40;    -999;   -3.10;-999;-999;-999;-999;-999;    5;     8.3;    3.7;eor
       3490;19310401;19310430;    5;  -999;   7.10;    -999;    1.80;-999;-999;-999;-999;-999;    5;    69.9;   13.5;eor
       3490;19310501;19310531;    5;  -999;  15.20;    -999;    8.80;-999;-999;-999;-999;-999;    5;   109.5;   12.6;eor
       3490;19310601;19310630;    5;  -999;  17.50;    -999;   11.30;-999;-999;-999;-999;-999;    5;    23.9;    7.8;eor
       3490;19310701;19310731;    5;  -999;  17.70;    -999;   11.90;-999;-999;-999;-999;-999;    5;    48.6;   11.9;eor
       3490;19310801;19310831;    5;  -999;  15.70;    -999;   11.10;-999;-999;-999;-999;-999;    5;   132.7;   23.1;eor
       3490;19310901;19310930;    5;  -999;  10.60;    -999;    7.20;-999;-999;-999;-999;-999;    5;    38.9;    7.2;eor
       3490;19311001;19311031;    5;  -999;   7.50;    -999;    2.60;-999;-999;-999;-999;-999;    5;    34.1;   13.4;eor
       3490;19311101;19311130;    5;  -999;   6.80;    -999;    2.70;-999;-999;-999;-999;-999;    5;     8.0;    3.4;eor
       3490;19311201;19311231;    5;  -999;   1.20;    -999;   -2.40;-999;-999;-999;-999;-999;    5;    41.8;    6.0;eor
       3490;19320101;19320131;    5;  -999;   4.00;    -999;   -0.40;-999;-999;-999;-999;-999;    5;    20.1;    8.0;eor
       3490;19320201;19320229;    5;  -999;   0.60;    -999;   -3.40;-999;-999;-999;-999;-999;    5;    16.3;    2.4;eor
       3490;19320301;19320331;    5;  -999;   2.90;    -999;   -2.30;-999;-999;-999;-999;-999;    5;    27.1;    6.6;eor
       3490;19320401;19320430;    5;  -999;   8.10;    -999;    3.90;-999;-999;-999;-999;-999;    5;    70.1;   13.2;eor
       3490;19320501;19320531;    5;  -999;  12.70;    -999;    7.60;-999;-999;-999;-999;-999;    5;    56.4;    8.4;eor
       3490;19320601;19320630;    5;  -999;  14.80;    -999;    9.50;-999;-999;-999;-999;-999;    5;    45.5;   12.8;eor
       3490;19320701;19320731;    5;  -999;  18.00;    -999;   13.30;-999;-999;-999;-999;-999;    5;    41.2;   15.4;eor
       3490;19320801;19320831;    5;  -999;  19.50;    -999;   12.30;-999;-999;-999;-999;-999;    5;    46.1;   12.0;eor
       3490;19320901;19320930;    5;  -999;  15.40;    -999;   10.90;-999;-999;-999;-999;-999;    5;    78.9;   16.6;eor
       3490;19321001;19321031;    5;  -999;  10.00;    -999;    6.00;-999;-999;-999;-999;-999;    5;    52.6;    8.9;eor
       3490;19321101;19321130;    5;  -999;   5.40;    -999;    2.00;-999;-999;-999;-999;-999;    5;    27.1;    9.8;eor
       3490;19321201;19321231;    5;  -999;   1.30;    -999;   -1.80;-999;-999;-999;-999;-999;    5;     9.8;    4.1;eor
       3490;19330101;19330131;    5;  -999;  -0.20;    -999;   -4.00;-999;-999;-999;-999;-999;    5;    11.9;    5.4;eor
       3490;19330201;19330228;    5;  -999;   2.60;    -999;   -1.30;-999;-999;-999;-999;-999;    5;    26.6;    5.0;eor
       3490;19330301;19330331;    5;  -999;   6.50;    -999;    0.80;-999;-999;-999;-999;-999;    5;     9.9;    3.4;eor
       3490;19330401;19330430;    5;  -999;   8.50;    -999;    3.40;-999;-999;-999;-999;-999;    5;    16.3;    5.6;eor
       3490;19330501;19330531;    5;  -999;  11.80;    -999;    6.90;-999;-999;-999;-999;-999;    5;    81.8;   22.5;eor
       3490;19330601;19330630;    5;  -999;  14.60;    -999;    9.50;-999;-999;-999;-999;-999;    5;    84.1;   17.5;eor
       3490;19330701;19330731;    5;  -999;  18.20;    -999;   12.60;-999;-999;-999;-999;-999;    5;    34.2;   13.2;eor
       3490;19330801;19330831;    5;  -999;  17.70;    -999;   11.70;-999;-999;-999;-999;-999;    5;    41.1;   20.1;eor
       3490;19330901;19330930;    5;  -999;  14.40;    -999;    8.30;-999;-999;-999;-999;-999;    5;    28.8;    7.9;eor
       3490;19331001;19331031;    5;  -999;   9.30;    -999;    4.80;-999;-999;-999;-999;-999;    5;    51.8;   14.7;eor
       3490;19331101;19331130;    5;  -999;   3.90;    -999;    1.10;-999;-999;-999;-999;-999;    5;    38.5;    7.7;eor
       3490;19331201;19331231;    5;  -999;  -2.60;    -999;   -6.10;-999;-999;-999;-999;-999;    5;    15.0;    5.1;eor
       3490;19340101;19340131;    5;  -999;   2.60;    -999;   -0.70;-999;-999;-999;-999;-999;    5;    40.6;    9.0;eor
       3490;19340201;19340228;    5;  -999;   2.20;    -999;   -1.40;-999;-999;-999;-999;-999;    5;    26.9;   19.0;eor
       3490;19340301;19340331;    5;  -999;   4.60;    -999;    0.60;-999;-999;-999;-999;-999;    5;    34.1;   15.7;eor
       3490;19340401;19340430;    5;  -999;  10.80;    -999;    4.40;-999;-999;-999;-999;-999;    5;    43.3;   16.2;eor
       3490;19340501;19340531;    5;  -999;  14.00;    -999;    7.80;-999;-999;-999;-999;-999;    5;    30.9;   17.1;eor
       3490;19340601;19340630;    5;  -999;  16.40;    -999;   10.30;-999;-999;-999;-999;-999;    5;   147.7;   36.4;eor
       3490;19340701;19340731;    5;  -999;  18.60;    -999;   12.30;-999;-999;-999;-999;-999;    5;    41.2;   26.5;eor
       3490;19340801;19340831;    5;  -999;  16.60;    -999;   10.80;-999;-999;-999;-999;-999;    5;    68.6;   20.1;eor
       3490;19340901;19340930;    5;  -999;  16.60;    -999;   10.40;-999;-999;-999;-999;-999;    5;    27.6;    9.6;eor
       3490;19341001;19341031;    5;  -999;  11.90;    -999;    7.70;-999;-999;-999;-999;-999;    5;    47.5;   14.3;eor
       3490;19341101;19341130;    5;  -999;   4.70;    -999;    1.20;-999;-999;-999;-999;-999;    5;    29.5;    6.8;eor
       3490;19341201;19341231;    5;  -999;   6.10;    -999;    2.60;-999;-999;-999;-999;-999;    5;    54.6;   16.4;eor
       3490;19350101;19350131;    5;  -999;   1.40;    -999;   -0.90;-999;-999;-999;-999;-999;    5;    55.6;   10.2;eor
       3490;19350201;19350228;    5;  -999;   3.70;    -999;    0.20;-999;-999;-999;-999;-999;    5;    71.0;   13.2;eor
       3490;19350301;19350331;    5;  -999;   4.50;    -999;   -0.50;-999;-999;-999;-999;-999;    5;    24.2;    4.9;eor
       3490;19350401;19350430;    5;  -999;   8.10;    -999;    3.80;-999;-999;-999;-999;-999;    5;   120.5;   17.1;eor
       3490;19350501;19350531;    5;  -999;  11.00;    -999;    4.60;-999;-999;-999;-999;-999;    5;    24.6;    5.6;eor
       3490;19350601;19350630;    5;  -999;  16.70;    -999;   11.00;-999;-999;-999;-999;-999;    5;    92.3;   17.5;eor
       3490;19350701;19350731;    5;  -999;  18.10;    -999;   12.10;-999;-999;-999;-999;-999;    5;    23.5;    8.7;eor
       3490;19350801;19350831;    5;  -999;  16.70;    -999;   10.40;-999;-999;-999;-999;-999;    5;    34.7;   11.9;eor
       3490;19350901;19350930;    5;  -999;  14.30;    -999;    9.20;-999;-999;-999;-999;-999;    5;    50.0;   20.8;eor
       3490;19351001;19351031;    5;  -999;   9.50;    -999;    4.50;-999;-999;-999;-999;-999;    5;    68.5;   27.3;eor
       3490;19351101;19351130;    5;  -999;   7.40;    -999;    3.00;-999;-999;-999;-999;-999;    5;    24.2;    7.4;eor
       3490;19351201;19351231;    5;  -999;   3.40;    -999;    0.40;-999;-999;-999;-999;-999;    5;    51.1;   13.5;eor
       3490;19360101;19360131;    5;  -999;   6.20;    -999;    2.80;-999;-999;-999;-999;-999;    5;    62.3;   20.2;eor
       3490;19360201;19360229;    5;  -999;   2.20;    -999;   -2.00;-999;-999;-999;-999;-999;    5;    33.2;    8.4;eor
       3490;19360301;19360331;    5;  -999;   6.90;    -999;    1.70;-999;-999;-999;-999;-999;    5;    15.1;    5.5;eor
       3490;19360401;19360430;    5;  -999;   6.70;    -999;    2.50;-999;-999;-999;-999;-999;    5;   151.0;   51.1;eor
       3490;19360501;19360531;    5;  -999;  12.70;    -999;    7.30;-999;-999;-999;-999;-999;    5;    41.5;   12.3;eor
       3490;19360601;19360630;    5;  -999;  15.80;    -999;   10.30;-999;-999;-999;-999;-999;    5;   135.4;   59.1;eor
       3490;19360701;19360731;    5;  -999;  16.60;    -999;   11.60;-999;-999;-999;-999;-999;    5;    95.7;   18.6;eor
       3490;19360801;19360831;    5;  -999;  17.30;    -999;   12.40;-999;-999;-999;-999;-999;    5;    49.8;   11.1;eor
       3490;19360901;19360930;    5;  -999;  14.00;    -999;    9.40;-999;-999;-999;-999;-999;    5;    69.3;   19.0;eor
       3490;19361001;19361031;    5;  -999;   8.20;    -999;    4.00;-999;-999;-999;-999;-999;    5;    37.1;    9.2;eor
       3490;19361101;19361130;    5;  -999;   5.90;    -999;    3.20;-999;-999;-999;-999;-999;    5;    38.0;    9.3;eor
       3490;19361201;19361231;    5;  -999;   3.00;    -999;   -0.60;-999;-999;-999;-999;-999;    5;    37.3;   10.8;eor
       3490;19370101;19370131;    5;  -999;   2.80;    -999;   -0.70;-999;-999;-999;-999;-999;    5;    80.6;   16.8;eor
       3490;19370201;19370228;    5;  -999;   4.70;    -999;    1.00;-999;-999;-999;-999;-999;    5;   137.0;   16.3;eor
       3490;19370301;19370331;    5;  -999;   3.60;    -999;   -0.20;-999;-999;-999;-999;-999;    5;    64.2;   13.8;eor
       3490;19370401;19370430;    5;  -999;   8.20;    -999;    4.80;-999;-999;-999;-999;-999;    5;    89.9;   15.2;eor
       3490;19370501;19370531;    5;  -999;  14.80;    -999;    8.10;-999;-999;-999;-999;-999;    5;    17.8;    5.6;eor
       3490;19370601;19370630;    5;  -999;  16.80;    -999;   10.90;-999;-999;-999;-999;-999;    5;    94.8;   21.2;eor
       3490;19370701;19370731;    5;  -999;  17.70;    -999;   12.20;-999;-999;-999;-999;-999;    5;    34.2;   10.0;eor
       3490;19370801;19370831;    5;  -999;  17.90;    -999;   12.50;-999;-999;-999;-999;-999;    5;    42.8;    7.5;eor
       3490;19370901;19370930;    5;  -999;  14.20;    -999;    9.10;-999;-999;-999;-999;-999;    5;    55.6;   16.6;eor
       3490;19371001;19371031;    5;  -999;  10.70;    -999;    5.70;-999;-999;-999;-999;-999;    5;    23.1;   14.7;eor
       3490;19371101;19371130;    5;  -999;   5.20;    -999;    0.70;-999;-999;-999;-999;-999;    5;    26.5;    6.8;eor
       3490;19371201;19371231;    5;  -999;   1.30;    -999;   -2.20;-999;-999;-999;-999;-999;    5;    51.5;   19.9;eor
       3490;19380101;19380131;    5;  -999;   4.40;    -999;    0.80;-999;-999;-999;-999;-999;    5;    77.0;   10.2;eor
       3490;19380201;19380228;    5;  -999;   2.20;    -999;   -1.60;-999;-999;-999;-999;-999;    5;    32.4;   10.6;eor
       3490;19380301;19380331;    5;  -999;   8.30;    -999;    2.50;-999;-999;-999;-999;-999;    5;    15.1;    5.6;eor
       3490;19380401;19380430;    5;  -999;   6.40;    -999;    2.00;-999;-999;-999;-999;-999;    5;    59.1;   26.6;eor
       3490;19380501;19380531;    5;  -999;  11.60;    -999;    5.80;-999;-999;-999;-999;-999;    5;    62.2;   13.6;eor
       3490;19380601;19380630;    5;  -999;  17.20;    -999;    9.80;-999;-999;-999;-999;-999;    5;    14.5;    9.0;eor
       3490;19380701;19380731;    5;  -999;  17.20;    -999;   11.70;-999;-999;-999;-999;-999;    5;    69.7;   18.8;eor
       3490;19380801;19380831;    5;  -999;  17.70;    -999;   13.20;-999;-999;-999;-999;-999;    5;   192.3;   33.4;eor
       3490;19380901;19380930;    5;  -999;  14.20;    -999;    8.80;-999;-999;-999;-999;-999;    5;    36.5;   11.8;eor
       3490;19381001;19381031;    5;  -999;   9.90;    -999;    5.70;-999;-999;-999;-999;-999;    5;    53.3;   15.5;eor
       3490;19381101;19381130;    5;  -999;   8.80;    -999;    4.90;-999;-999;-999;-999;-999;    5;    36.6;    9.4;eor
       3490;19381201;19381231;    5;  -999;   0.10;    -999;   -3.60;-999;-999;-999;-999;-999;    5;    56.4;   10.3;eor
       3490;19390101;19390131;    5;  -999;   5.50;    -999;    2.20;-999;-999;-999;-999;-999;    5;    46.1;    7.3;eor
       3490;19390201;19390228;    5;  -999;   3.10;    -999;   -1.70;-999;-999;-999;-999;-999;    5;    16.4;    5.1;eor
       3490;19390301;19390331;    5;  -999;   4.00;    -999;   -0.40;-999;-999;-999;-999;-999;    5;    86.2;   13.5;eor
       3490;19390401;19390430;    5;  -999;   9.80;    -999;    4.30;-999;-999;-999;-999;-999;    5;    50.1;    9.4;eor
       3490;19390501;19390531;    5;  -999;  11.90;    -999;    5.50;-999;-999;-999;-999;-999;    5;    30.5;   16.1;eor
       3490;19390601;19390630;    5;  -999;  16.80;    -999;    9.40;-999;-999;-999;-999;-999;    5;    48.4;   23.2;eor
       3490;19390701;19390731;    5;  -999;  17.70;    -999;   11.60;-999;-999;-999;-999;-999;    5;    48.0;    9.9;eor
       3490;19390801;19390831;    5;  -999;  17.20;    -999;   11.90;-999;-999;-999;-999;-999;    5;    57.0;   16.8;eor
       3490;19390901;19390930;    5;  -999;  14.00;    -999;    9.90;-999;-999;-999;-999;-999;    5;    59.5;   21.3;eor
       3490;19391001;19391031;    5;  -999;   7.80;    -999;    4.00;-999;-999;-999;-999;-999;    5;   138.7;   34.9;eor
       3490;19391101;19391130;    5;  -999;   7.80;    -999;    3.60;-999;-999;-999;-999;-999;    5;    84.5;   20.7;eor
       3490;19391201;19391231;    5;  -999;   0.80;    -999;   -2.60;-999;-999;-999;-999;-999;    5;    26.4;    6.8;eor
       3490;19400101;19400131;    5;  -999;  -7.70;    -999;  -13.60;-999;-999;-999;-999;-999;    5;    33.6;    8.5;eor
       3490;19400201;19400229;    5;  -999;  -0.30;    -999;   -5.20;-999;-999;-999;-999;-999;    5;    44.6;   11.7;eor
       3490;19400301;19400331;    5;  -999;   5.90;    -999;    1.70;-999;-999;-999;-999;-999;    5;    84.8;   32.7;eor
       3490;19400401;19400430;    5;  -999;   9.20;    -999;    4.30;-999;-999;-999;-999;-999;    5;    86.5;   12.1;eor
       3490;19400501;19400531;    5;  -999;  13.60;    -999;    7.40;-999;-999;-999;-999;-999;    5;    44.0;   15.0;eor
       3490;19400601;19400630;    5;  -999;  17.00;    -999;   10.80;-999;-999;-999;-999;-999;    5;   100.0;   28.9;eor
       3490;19400701;19400731;    5;  -999;  16.60;    -999;   11.80;-999;-999;-999;-999;-999;    5;    92.8;   12.1;eor
       3490;19400801;19400831;    5;  -999;  15.50;    -999;   10.30;-999;-999;-999;-999;-999;    5;    52.8;   10.5;eor
       3490;19400901;19400930;    5;  -999;  13.40;    -999;    8.80;-999;-999;-999;-999;-999;    5;    83.1;   26.3;eor
       3490;19401001;19401031;    5;  -999;   8.80;    -999;    4.10;-999;-999;-999;-999;-999;    5;    21.6;    5.0;eor
       3490;19401101;19401130;    5;  -999;   7.70;    -999;    3.80;-999;-999;-999;-999;-999;    5;    58.6;   13.6;eor
       3490;19401201;19401231;    5;  -999;   0.50;    -999;   -3.10;-999;-999;-999;-999;-999;    5;    90.4;   15.5;eor
       3490;19410101;19410131;    5;  -999;  -2.20;    -999;   -5.70;-999;-999;-999;-999;-999;    5;    43.9;    9.9;eor
       3490;19410201;19410228;    5;  -999;   2.00;    -999;   -2.00;-999;-999;-999;-999;-999;    5;    30.8;    8.0;eor
       3490;19410301;19410331;    5;  -999;   5.30;    -999;    1.00;-999;-999;-999;-999;-999;    5;    48.9;   10.2;eor
       3490;19410401;19410430;    5;  -999;   6.70;    -999;    2.40;-999;-999;-999;-999;-999;    5;    20.9;    5.1;eor
       3490;19410501;19410531;    5;  -999;   8.80;    -999;    3.40;-999;-999;-999;-999;-999;    5;    31.2;   14.2;eor
       3490;19410601;19410630;    5;  -999;  15.50;    -999;   10.00;-999;-999;-999;-999;-999;    5;   119.0;   26.5;eor
       3490;19410701;19410731;    5;  -999;  17.40;    -999;   11.00;-999;-999;-999;-999;-999;    5;    65.7;   18.9;eor
       3490;19410801;19410831;    5;  -999;  15.50;    -999;   11.00;-999;-999;-999;-999;-999;    5;   133.6;   20.0;eor
       3490;19410901;19410930;    5;  -999;  12.30;    -999;    6.60;-999;-999;-999;-999;-999;    5;    30.0;   22.3;eor
       3490;19411001;19411031;    5;  -999;   8.60;    -999;    4.70;-999;-999;-999;-999;-999;    5;   102.2;   14.1;eor
       3490;19411101;19411130;    5;  -999;   3.50;    -999;   -0.40;-999;-999;-999;-999;-999;    5;    35.8;   11.1;eor
       3490;19411201;19411231;    5;  -999;   3.30;    -999;    0.50;-999;-999;-999;-999;-999;    5;    68.0;   15.0;eor
       3490;19420101;19420131;    5;  -999;  -5.50;    -999;   -9.80;-999;-999;-999;-999;-999;    5;    57.1;   15.0;eor
       3490;19420201;19420228;    5;  -999;  -4.00;    -999;   -8.10;-999;-999;-999;-999;-999;    5;    31.0;    7.3;eor
       3490;19420301;19420331;    5;  -999;   2.90;    -999;   -2.20;-999;-999;-999;-999;-999;    5;    20.1;   10.4;eor
